pitcher,train,test
681190,1,0
592791,1,0
641302,1,0
690925,1,0
677976,1,0
621199,1,0
642152,1,0
666159,1,0
661269,1,0
681871,1,0
670167,1,0
628452,1,0
676742,1,0
668970,1,0
678024,1,0
686218,1,0
570257,1,0
596295,1,0
684007,1,0
682010,1,0
676263,1,0
501593,1,0
547001,1,0
672782,1,0
663804,1,0
606303,1,0
502706,1,0
681402,1,0
445276,1,0
675512,1,0
608678,1,0
669193,1,0
670090,1,0
664054,1,0
664092,1,0
571735,1,0
593604,1,0
641149,1,0
680742,1,0
621294,1,0
690928,1,0
672841,1,0
621082,1,0
666661,1,0
688642,1,0
571439,1,0
680897,1,0
669467,1,0
677960,1,0
543272,1,0
663385,1,0
676604,1,0
681857,1,0
664744,1,0
682274,1,0
663969,1,0
669308,1,0
683003,1,0
572125,1,0
554430,1,0
656547,1,0
606149,1,0
678215,1,0
598264,1,0
622251,1,0
605200,1,0
808967,1,0
543278,1,0
621052,1,0
592712,1,0
685503,1,0
660906,1,0
554340,1,0
663776,1,0
672911,1,0
696136,1,0
669214,1,0
675627,1,0
545333,1,0
592332,1,0
532077,1,0
663989,1,0
681808,1,0
571882,1,0
621381,1,0
595939,1,0
660261,1,0
681892,1,0
680692,1,0
573186,1,0
543294,1,0
813349,1,0
592644,1,0
630263,1,0
676962,1,0
677865,1,0
681799,1,0
572971,1,0
606965,1,0
687396,1,0
543243,1,0
656353,1,0
607391,1,0
453343,1,0
571527,1,0
545064,1,0
623364,1,0
646241,1,0
689225,1,0
666277,1,0
657376,1,0
656641,1,0
571578,1,0
467008,1,0
693433,1,0
650911,1,0
656266,1,0
573124,1,0
657624,1,0
669935,1,0
592222,1,0
701542,1,0
693855,1,0
689958,1,0
455119,1,0
680755,1,0
642547,1,0
572193,1,0
676840,1,0
457918,1,0
543456,1,0
641712,1,0
695445,1,0
678226,1,0
679358,1,0
665660,1,0
664129,1,0
668687,1,0
656725,1,0
656814,1,0
664714,1,0
668874,1,0
621097,1,0
571901,1,0
672710,1,0
674681,1,0
661395,1,0
650556,1,0
608371,1,0
660422,1,0
605288,1,0
592346,1,0
600921,1,0
669294,1,0
621139,1,0
542882,1,0
668873,1,0
806188,1,0
592767,1,0
677020,1,0
570240,1,0
452657,1,0
669461,1,0
686972,1,0
686842,1,0
667755,1,0
680983,1,0
592836,1,0
533167,1,0
680694,1,0
677053,1,0
545343,1,0
670950,1,0
622088,1,0
688297,1,0
502188,1,0
502179,1,0
664991,1,0
592454,1,0
686839,1,0
672730,1,0
541640,1,0
676534,1,0
642216,1,0
621112,1,0
666214,1,0
501789,1,0
605309,1,0
505447,1,0
656848,1,0
682254,1,0
678368,1,0
664875,1,0
694918,1,0
656420,1,0
677651,1,0
682847,1,0
489334,1,0
658431,1,0
670329,1,0
592527,1,0
692230,1,0
666129,1,0
701656,1,0
681343,1,0
621593,1,0
650671,1,0
622098,1,0
694462,1,0
656731,1,0
667725,1,0
676508,1,0
676083,1,0
679775,1,0
663562,1,0
605347,1,0
672851,1,0
650633,1,0
665759,1,0
702795,1,0
607352,1,0
687003,1,0
657745,1,0
621074,1,0
670050,1,0
644429,1,0
594835,1,0
594577,1,0
608328,1,0
678495,1,0
687473,1,0
543548,1,0
691769,1,0
641778,1,0
663574,1,0
544931,1,0
663474,1,0
425794,1,0
687362,1,0
666818,1,0
669711,1,0
663855,1,0
608349,1,0
621345,1,0
695418,1,0
680729,1,0
673858,1,0
543339,1,0
605400,1,0
674944,1,0
669395,1,0
650668,1,0
681982,1,0
605335,1,0
700270,1,0
650496,1,0
674003,1,0
664208,1,0
612434,1,0
676440,1,0
622065,1,0
607067,1,0
670056,1,0
687606,1,0
668665,1,0
518516,1,0
689520,1,0
571521,1,0
666622,1,0
622446,1,0
679156,1,0
692024,1,0
605242,1,0
605194,1,0
543351,1,0
687924,1,0
519293,1,0
518813,1,0
687765,1,0
623437,1,0
605479,1,0
605156,1,0
592254,1,0
644364,1,0
680702,1,0
543101,1,0
456713,1,0
596271,1,0
682790,1,0
605446,1,0
676477,1,0
665152,1,0
668716,1,0
642060,1,0
595897,1,0
683175,1,0
669372,1,0
642231,1,0
641755,1,0
682825,1,0
506433,1,0
640470,1,0
673965,1,0
668834,1,0
694361,1,0
666201,1,0
660604,1,0
594987,1,0
657611,1,0
700187,1,0
598286,1,0
675921,1,0
670161,1,0
666721,1,0
593833,1,0
699911,1,0
679525,1,0
672552,1,0
641907,1,0
608344,1,0
607229,1,0
623485,1,0
671096,1,0
670550,1,0
691799,1,0
669020,1,0
804636,1,0
596001,1,0
595191,1,0
682990,1,0
680880,1,0
641541,1,0
607481,1,0
453192,1,0
686973,1,0
621098,1,0
700241,1,0
670046,1,0
642003,1,0
664123,1,0
547176,1,0
650347,1,0
656212,1,0
623454,1,0
680573,1,0
593372,1,0
687589,1,0
694973,1,0
670288,1,0
594985,1,0
665621,1,0
607536,1,0
503569,1,0
597113,1,0
657097,1,0
664161,1,0
608638,1,0
605154,1,0
675989,1,0
669160,1,0
605155,1,0
621121,1,0
660761,1,0
571676,1,0
503449,1,0
592773,1,0
621249,1,0
673820,1,0
676961,1,0
802419,1,0
669358,1,0
641729,1,0
573204,1,0
686799,1,0
519242,1,0
453268,1,0
683568,1,0
664351,1,0
592390,1,0
592833,1,0
523260,1,0
504379,1,0
623465,1,0
518748,1,0
666200,1,0
665645,1,0
660623,1,0
682171,1,0
641835,1,0
683232,1,0
448281,1,0
624586,1,0
543118,1,0
666215,1,0
642659,1,0
690916,1,0
661255,1,0
543037,1,0
668909,1,0
681066,1,0
592464,1,0
607219,1,0
678692,1,0
669622,1,0
669391,1,0
641585,1,0
593958,1,0
571858,1,0
656546,1,0
663559,1,0
600944,1,0
491703,1,0
694813,1,0
643511,1,0
666674,1,0
489265,1,0
664350,1,0
656234,1,0
668968,1,0
800311,1,0
424144,1,0
688427,1,0
607200,1,0
676831,1,0
643532,1,0
694646,1,0
605276,1,0
659275,1,0
690986,1,0
669022,1,0
675540,1,0
641329,1,0
660813,1,0
691094,1,0
676755,1,0
519393,1,0
502578,1,0
683068,1,0
668684,1,0
641154,1,0
669212,1,0
693313,1,0
681806,1,0
669105,1,0
665795,1,0
661403,1,0
518397,1,0
667498,1,0
601713,1,0
689147,1,0
642584,1,0
622766,1,0
592233,1,0
475479,1,0
501925,1,0
592351,1,0
606160,1,0
605452,1,0
682842,1,0
642233,1,0
676775,1,0
434378,1,0
676664,1,0
677944,1,0
670102,1,0
690544,1,0
605164,1,0
571479,1,0
641995,1,0
664747,1,0
641341,1,0
664157,1,0
571710,1,0
592811,1,0
605130,1,0
668948,1,0
657612,1,0
682967,1,0
680684,1,0
543483,1,0
680735,1,0
608648,1,0
641582,1,0
664192,1,0
503285,1,0
622379,1,0
519381,1,0
805299,1,0
594580,1,0
676105,1,0
693312,1,0
572888,1,0
656354,1,0
656257,1,0
669169,1,0
668390,1,0
570666,1,0
502042,1,0
476454,1,0
687145,1,0
642558,1,0
660431,1,0
607625,1,0
622075,1,0
596027,1,0
664076,1,0
656061,1,0
621141,1,0
592662,1,0
658551,1,0
676886,1,0
611093,1,0
